Sr. No.,Movies
0,Stand By Me
1,Raging Bull
2,Amelie
3,Titanic
4,Good Will Hunting
5,Arrival
6,Lost In Translation
7,The Princess Bride
8,The Terminator
9,The Prestige
10,No Country For Old Men
11,Shaun Of The Dead
12,The Exorcist
13,Predator
14,Indiana Jones And The Last Crusade
15,Léon
16,Rocky
17,True Romance
18,Some Like It Hot
19,The Social Network
20,Spirited Away
21,Captain America: Civil War
22,Oldboy
23,Toy Story
24,A Clockwork Orange
25,Fargo
26,Mulholland Dr.
27,Seven Samurai
28,Rear Window
29,Hot Fuzz
30,The Lion King
31,Singin' In The Rain
32,Ghostbusters
33,Memento
34,Return Of The Jedi
35,Avengers Assemble
36,L.A. Confidential
37,Donnie Darko
38,La La Land
39,Forrest Gump
40,American Beauty
41,E.T. – The Extra Terrestrial
42,Inglourious Basterds
43,Whiplash
44,Reservoir Dogs
45,Pan's Labyrinth
46,Vertigo
47,Psycho
48,Once Upon A Time In The West
49,It's A Wonderful Life
50,Lawrence Of Arabia
51,Trainspotting
52,The Silence Of The Lambs
53,Interstellar
54,Citizen Kane
55,Drive
56,Gladiator
57,One Flew Over The Cuckoo's Nest
58,There Will Be Blood
59,Eternal Sunshine Of The Spotless Mind
60,12 Angry Men
61,Saving Private Ryan
62,Mad Max: Fury Road
63,The Thing
64,The Departed
65,The Shining
66,Guardians Of The Galaxy
67,Schindler's List
68,The Usual Suspects
69,Taxi Driver
70,Seven
71,The Big Lebowski
72,Casablanca
73,"The Good, The Bad And The Ugly"
74,Heat
75,Terminator 2: Judgment Day
76,The Matrix
77,The Lord Of The Rings: The Two Towers
78,Apocalypse Now
79,2001: A Space Odyssey
80,Die Hard
81,Jurassic Park
82,Inception
83,Fight Club
84,The Lord Of The Rings: The Return Of The King
85,Aliens
86,Alien
87,Blade Runner
88,The Godfather Part II
89,Back To The Future
90,The Lord Of The Rings: The Fellowship Of The Ring
91,Star Wars
92,Jaws
93,Raiders Of The Lost Ark
94,Goodfellas
95,Pulp Fiction
96,The Shawshank Redemption
97,The Dark Knight
98,The Empire Strikes Back
99,The Godfather
